2024-11-09 13:32:16.841 User Agent: [Hub 3.9.1], Protocol version: [1.15.8], Session Id: [35c3c8f08f1c42c5943edcdbfaf90a40], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.cloth], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.director], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.imageconversion], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.imgui], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.jsonserialize], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.particlesystem], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.physics], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.physics2d], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.screencapture], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.terrain], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.terrainphysics], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.tilemap], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.ui], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.uielements], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.umbra], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.unityanalytics], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequest], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestassetbundle], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestaudio], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequesttexture], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestwww], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.vehicles], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.video], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.vr], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.wind], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.xr], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.subsystems], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.modules.hierarchycore], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.ext.nunit], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.core], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.shadergraph], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.render-pipelines.universal-config], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.animation], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.pixel-perfect], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.psdimporter], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.sprite], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.spriteshape], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.tilemap], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.tilemap.extras], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.aseprite], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.searcher], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.burst], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.mathematics], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.collections], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.rendering.light-transport], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.2d.common], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.nuget.mono-cecil], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.535 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.test-framework.performance], Result: [granted: True, group: (null)]
2024-11-09 13:43:31.734 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2024-11-09 13:43:31.735 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.disable], Result: [granted: False, group: (null)]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.prototyping], Result: [granted: False, group: (null)]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.time-limited-license], Result: [granted: False, group: (null)]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2024-11-09 13:43:32.645 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:44:28.499 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2024-11-09 13:44:28.500 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2024-11-09 13:44:28.500 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:44:28.500 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2024-11-09 13:44:28.500 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2024-11-09 13:44:31.580 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:44:31.580 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: 20066427825706-UnityPersonal]
2024-11-09 13:44:37.928 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2024-11-09 13:44:37.954 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.collab-proxy], Result: [granted: True, group: (null)]
2024-11-09 13:44:37.954 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.feature.2d], Result: [granted: True, group: (null)]
2024-11-09 13:44:37.955 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2024-11-09 13:44:37.955 User Agent: [UnityEditor/6000.0.26f1 (Linux; U; Linux 6.1; en_US)], Protocol version: [1.16], Session Id: [351debd3d84c4d6492efdfed847282be], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
